service_id,full_name,rank,position_title,subdivision,phone
UNIT-0197,Пилипенко Андрій Омелянович,рядовий,навідник,3-тя механізована рота,244-71-46
UNIT-0198,Дурдинець Леонід Русланович,старший сержант,старшина роти,3-тя механізована рота,052 045 65 04
UNIT-0199,Матяш Макар Павлович,старший сержант,командир відділення,2-га механізована рота,+380 (52) 132-83-38
UNIT-0200,Гаврюшенко Євген Леопольдович,рядовий,оператор БПЛА,1-ша механізована рота,021 611-07-60
UNIT-0201,Жайворон Орхип Азарович,рядовий,сапер,Взвод забезпечення,089 119-08-33
UNIT-0202,Мазепа Валентин Стефанович,старший солдат,снайпер,3-тя механізована рота,075 480 15 71
UNIT-0203,Стельмах Гордій Леопольдович,рядовий,снайпер,1-ша механізована рота,215 35 39
UNIT-0204,Ткаченко Богодар Владиславович,старший сержант,заступник командира взводу,1-ша механізована рота,101-70-26
UNIT-0205,Палій Борислав Данилович,сержант,заступник командира взводу,Управління батальйону,+380 (77) 002-84-27
UNIT-0206,Худобʼяк Болеслав Давидович,молодший сержант,заступник командира взводу,3-тя механізована рота,902-55-90
UNIT-0207,Прокопович Сніжана Артемівна,рядовий,стрілець,Управління батальйону,569-65-91
UNIT-0208,Ярема Артем Русланович,старший солдат,кулеметник,3-тя механізована рота,919 54 19
UNIT-0209,Шутько Єлисей Веніяминович,старшина,старшина роти,3-тя механізована рота,+380 48 969 08 35
UNIT-0210,Швачко Борис Володимирович,сержант,старшина роти,1-ша механізована рота,+380 (03) 242-04-48
UNIT-0211,Дзюба Омелян Алевтинович,рядовий,сапер,2-га механізована рота,+380 59 636-32-12
UNIT-0212,Засядько Герман Леонідович,рядовий,стрілець,1-ша механізована рота,348-64-51
UNIT-0213,Кабалюк Тимофій Леонідович,рядовий,навідник,3-тя механізована рота,+380 70 027-20-63
UNIT-0214,Нестеренко Давид Олександрович,рядовий,зв'язківець,3-тя механізована рота,017 342-06-96
UNIT-0215,Конопля Борислав Арсенович,старший солдат,санітар-інструктор,2-га механізована рота,+380 (20) 443-97-35
UNIT-0216,Шаповал Аркадій Августинович,рядовий,навідник,1-ша механізована рота,080 924 28 75
UNIT-0217,Шило Богуслав Арсенович,рядовий,снайпер,3-тя механізована рота,+380 03 203 20 74
UNIT-0218,Деревʼянко Панас Лукʼянович,старший солдат,водій,2-га механізована рота,061 371 50 41
UNIT-0219,Теліженко Зорян Омелянович,рядовий,снайпер,3-тя механізована рота,+380 (16) 423-61-03
UNIT-0220,Дергач Ігнат Тимофійович,рядовий,стрілець,1-ша механізована рота,+380 92 661-08-57
UNIT-0221,Іваничук Омелян Ростиславович,рядовий,стрілець,2-га механізована рота,+380 94 549 18 01
UNIT-0222,Швачко Валерій Трохимович,рядовий,санітар-інструктор,2-га механізована рота,027 76 97
UNIT-0223,Непорожній Олекса Юстимович,старший лейтенант,командир взводу,1-ша механізована рота,027 770 79 33
UNIT-0224,Михайличенко Миколай Яковович,рядовий,стрілець,3-тя механізована рота,+380 81 467-17-95
UNIT-0225,Черненко Павло Костянтинович,рядовий,навідник,2-га механізована рота,722 32 97
UNIT-0226,Вітрук Оксенія Кирилівна,старший солдат,снайпер,1-ша механізована рота,+380 50 842-89-10
UNIT-0227,Цушко Соломон Леопольдович,старший лейтенант,командир батальйону,2-га механізована рота,376 03 75
UNIT-0228,Малишко Леопольд Валентинович,підполковник,командир роти,3-тя механізована рота,+380 62 606-02-90
UNIT-0229,Михайлюк Євген Єлисейович,рядовий,водій,2-га механізована рота,+380 62 884-31-88
UNIT-0230,Олійник Кирило Захарович,рядовий,зв'язківець,1-ша механізована рота,054 492-68-31
UNIT-0231,Панчук Кирило Олесьович,старший сержант,заступник командира взводу,2-га механізована рота,+380 (77) 622-82-77
UNIT-0232,Гузь Ярослава Яремівна,рядовий,навідник,1-ша механізована рота,229-60-44
UNIT-0233,Затовканюк Варфоломій Юстимович,молодший сержант,заступник командира взводу,1-ша механізована рота,+380 (63) 658-07-41
UNIT-0234,Деркач Панас Адамович,рядовий,сапер,1-ша механізована рота,+380 18 956 90 70
UNIT-0235,Приходько Єфрем Варфоломійович,рядовий,снайпер,1-ша механізована рота,+380 61 526-54-61
UNIT-0236,Бакуменко Венедикт Володимирович,молодший сержант,заступник командира взводу,1-ша механізована рота,+380 18 325 82 38
UNIT-0237,Фурс Юстим Олегович,рядовий,оператор БПЛА,3-тя механізована рота,+380 (12) 846-39-85
UNIT-0238,Проценко Олесь Геннадійович,рядовий,навідник,2-га механізована рота,+380 69 562-01-75
UNIT-0239,Єсипенко Йосип Августинович,молодший сержант,старшина роти,2-га механізована рота,019 212 49 38
UNIT-0240,Лисенко Василь Ярославович,рядовий,оператор БПЛА,Взвод забезпечення,+380 (87) 506-35-19
UNIT-0241,Артеменко Прохір Віталійович,рядовий,сапер,1-ша механізована рота,+380 17 911 00 65
UNIT-0242,Башполченко Сергій Богуславович,молодший сержант,заступник командира взводу,1-ша механізована рота,+380 69 915 07 85
UNIT-0243,Єсипенко Орхип Орхипович,рядовий,сапер,3-тя механізована рота,+380 95 450-89-20
UNIT-0244,Кабаненко Леопольд Юстимович,рядовий,водій,1-ша механізована рота,730-33-79
UNIT-0245,Засуха Володимир Макарович,старший солдат,кулеметник,3-тя механізована рота,042 342-58-32
UNIT-0246,Жадан Аврелій Валерійович,рядовий,стрілець,1-ша механізована рота,+380 (30) 993-84-25
UNIT-0247,Кибкало Альберт Петрович,майор,начальник штабу батальйону,1-ша механізована рота,+380 (90) 333-73-63
UNIT-0248,Ніколюк Єлисей Ігорович,сержант,заступник командира взводу,3-тя механізована рота,+380 54 602 73 41
UNIT-0249,Рябошапка Хома Аркадійович,сержант,старшина роти,1-ша механізована рота,084 044 56 69
UNIT-0250,Алексеєнко Лесь Пантелеймонович,старшина,командир відділення,2-га механізована рота,+380 07 553-66-68
UNIT-0251,Москаль Михайлина Олегівна,старшина,заступник командира взводу,Управління батальйону,018 209 70 23
UNIT-0252,Бевзенко Юстим Едуардович,рядовий,водій,1-ша механізована рота,+380 67 299-49-38
UNIT-0253,Шаповал Герман Венедиктович,рядовий,навідник,2-га механізована рота,+380 (76) 291-60-32
UNIT-0254,Лисенко Федір Петрович,рядовий,снайпер,3-тя механізована рота,+380 65 636 00 41
UNIT-0255,Ґерета Дан Прохорович,старший сержант,старшина роти,2-га механізована рота,+380 23 083-70-81
UNIT-0256,Таран Петро Давидович,молодший сержант,старшина роти,2-га механізована рота,681-55-83
UNIT-0257,Заїка Ярема Назарович,старший солдат,кулеметник,2-га механізована рота,+380 18 924 19 56
UNIT-0258,Гуцуляк Демид Валерійович,сержант,заступник командира взводу,1-ша механізована рота,+380 74 326-30-39
UNIT-0259,Чарниш Прохір Дмитрович,сержант,командир відділення,2-га механізована рота,302 32 12
