doc_number,doc_date,doc_type,service_id,person_name_raw,date_from,date_to,reason,place,status,superseded_by,source_file
№209,2026-05-17,відрядження,UNIT-0220,Дергач Ігнат Тимофійович,2026-05-20,2026-05-26,приймання-передача майна служби пального,м. Івано-Франківськ,чинний,,trip_009.pdf
№210,2026-05-21,відрядження,UNIT-0232,Гузь Ярослава Яремівна,2026-05-25,2026-05-29,звірка облікових даних особового складу,м. Львів,чинний,,trip_010.pdf
№301,2026-05-06,відпустка,,,,,відпустка за сімейними обставинами,м. Вінниця,чинний,,defect_001.pdf
№302,2026-05-09,відпустка,,Заболотний Ярослав Тимофійович,2026-05-14,2026-05-24,щорічна основна відпустка за 2026 рік,м. Чернівці,чинний,,defect_002.pdf
№303,2026-05-15,відрядження,UNIT-0244,Кабаненко Леопольд Юстимович,2026-05-20,2026-05-11,проходження курсу підвищення кваліфікації,м. Рівне,чинний,,defect_003.pdf
№3О4,2026-05-04,відпустка,UNIT-0256,Таран Петро Давидович,2026-05-08,2026-05-22,щорічна додаткова відпустка (за особливий характер служби) за 2026 рік,м. Тернопіль,чинний,,defect_004.pdf
№401,2026-05-01,відпустка,UNIT-0268,Цісик Спас Владиславович,2026-05-05,2026-05-25,щорічна основна відпустка за 2026 рік,м. Полтава,скасований,№402,pair_001a.pdf
№402,2026-05-13,відпустка,UNIT-0268,Цісик Спас Владиславович,2026-05-05,2026-05-14,щорічна основна відпустка за 2026 рік,м. Полтава,чинний,,pair_001b.pdf
№403,2026-05-13,відрядження,UNIT-0280,Дашкевич Едуард Богодарович,2026-05-18,2026-05-22,звірка облікових даних особового складу,м. Житомир,скасований,№404,pair_002a.pdf
№404,2026-05-20,відрядження,UNIT-0280,Дашкевич Едуард Богодарович,2026-05-25,2026-05-29,звірка облікових даних особового складу,м. Житомир,чинний,,pair_002b.pdf
№145,2026-05-03,відпустка,UNIT-0292,Яремчук Максим Михайлович,2026-05-06,2026-05-20,відпустка для лікування після хвороби згідно з висновком ВЛК,м. Ужгород,скасований,№145,pair_003a.pdf
№145,2026-05-12,відпустка,UNIT-0292,Яремчук Максим Михайлович,2026-05-13,2026-05-27,відпустка для лікування після хвороби згідно з висновком ВЛК,м. Ужгород,чинний,,pair_003b.pdf
№501,2026-05-06,відпустка,UNIT-0124,Бабко Павло Ярославович,2026-05-10,2026-05-20,відпустка за сімейними обставинами,м. Кропивницький,чинний,,overlap_001.pdf
