service_id,rank,last_name,first_name,patronymic,full_name,gender,position_index,position_title,subdivision,position_assigned_date,arrived_from,enrollment_date,enrollment_order_date,enrollment_order_number,appointment_order_date,appointment_order_issuer,appointment_order_number,rank_order_date,rank_order_issuer,rank_order_number,service_type,contract_start_date,contract_end_date,conscription_period,rnokpp,id_document_type,id_document_series,id_document_number,birth_date,birth_place,service_entry_date,service_entry_authority,education,relatives_info,additional_info,phone
UNIT-0015,старший сержант,Опанасенко,Ростислав,Леонідович,Опанасенко Ростислав Леонідович,чоловіча,03-005,старшина роти,3-тя механізована рота,2026-07-05,Навчальний центр «Десна»,2026-06-15,2026-06-18,№279,2026-07-10,начальник штабу батальйону,№328,2026-07-24,командир батальйону,№142,військова служба за мобілізацією,,,на весь період мобілізації,7347143455,Паспорт громадянина України (книжечка),ЧК,277434,2006-01-25,село Вишневе,2026-06-11,Личаківський РТЦК та СП м. Львова,повна загальна середня,дружина/чоловік — Владислав,,+380 (23) 166-58-76
UNIT-0016,старший солдат,Батіг,Веніямин,Яковович,Батіг Веніямин Яковович,чоловіча,04-002,стрілець,Взвод забезпечення,2026-02-22,запас (повторний призов),2025-09-24,2025-09-27,№21,2026-02-25,командувач Сухопутних військ ЗСУ,№489,2026-07-16,командир батальйону,№966,базова військова служба,,,12 місяців,8893734670,Паспорт громадянина України (ID-картка),,909670546,1999-02-09,селище Ромни,2025-09-21,Соборний РТЦК та СП м. Дніпра,професійно-технічна,"дружина/чоловік — Остап, діти — 1",,+380 (27) 298-06-99
UNIT-0017,старший сержант,Артимишин,Аркадій,Панасович,Артимишин Аркадій Панасович,чоловіча,04-003,командир відділення,Взвод забезпечення,2025-12-15,запас (повторний призов),2025-10-24,2025-10-25,№818,2025-12-17,командувач Сухопутних військ ЗСУ,№742,2026-04-14,командир бригади,№861,військова служба за мобілізацією,,,на весь період мобілізації,5564641708,Паспорт громадянина України (книжечка),ЛЦ,204653,2001-07-15,селище Деражня,2025-10-17,Приморський РТЦК та СП м. Одеси,вища,"дружина/чоловік — Онисим, діти — 1",,003 30 92
UNIT-0018,рядовий,Каденюк,Богуслав,Кирилович,Каденюк Богуслав Кирилович,чоловіча,01-007,санітар-інструктор,1-ша механізована рота,2025-07-11,121 окрема бригада ТрО,2023-02-16,2023-02-19,№346,2025-07-12,командувач Сухопутних військ ЗСУ,№285,2024-01-18,командувач Сухопутних військ ЗСУ,№259,військова служба за мобілізацією,,,на весь період мобілізації,2419049663,Паспорт громадянина України (книжечка),ЖП,745299,1978-05-22,село Борщів,2023-02-14,Шевченківський РТЦК та СП м. Києва,професійно-технічна,"дружина/чоловік — Марта, діти — 1",,905 86 51
UNIT-0019,старший лейтенант,Деряжний,Омелян,Захарович,Деряжний Омелян Захарович,чоловіча,02-004,командир взводу,2-га механізована рота,2025-11-11,Навчальний центр «Десна»,2022-04-16,2022-04-16,№485,2025-11-12,командир батальйону,№578,2026-06-05,командир бригади,№477,військова служба за мобілізацією,,,на весь період мобілізації,8498776945,Паспорт громадянина України (книжечка),ДЗ,165726,1982-07-31,місто Жовті Води,2022-04-04,Соборний РТЦК та СП м. Дніпра,вища,неодружений(а),,+380 37 996 50 75
UNIT-0020,рядовий,Євдокименко,Леонід,Вікторович,Євдокименко Леонід Вікторович,чоловіча,02-005,навідник,2-га механізована рота,2025-09-22,Навчальний центр Сухопутних військ,2025-03-06,2025-03-06,№965,2025-09-26,командир бригади,№78,2025-11-21,командир бригади,№105,військова служба за мобілізацією,,,на весь період мобілізації,1367837770,Паспорт громадянина України (книжечка),ЦН,494808,1983-08-06,селище Дебальцеве,2025-03-02,Соборний РТЦК та СП м. Дніпра,вища,"дружина/чоловік — Одарка, діти — 2",має посвідчення водія категорії C,049 578-85-68
UNIT-0021,старший солдат,Перебийніс,Захар,Святославович,Перебийніс Захар Святославович,чоловіча,03-006,зв'язківець,3-тя механізована рота,2026-04-19,Навчальний центр Сухопутних військ,2026-01-04,2026-01-06,№725,2026-04-19,командир бригади,№446,2026-05-02,командир бригади,№752,військова служба за контрактом,2026-01-03,2029-01-03,,3374989413,Паспорт громадянина України (книжечка),МХ,431351,1983-03-12,село Канів,2026-01-03,Київський РТЦК та СП Полтавської області,вища,неодружений(а),проходить строкову медичну комісію,040 824 00 84
UNIT-0022,старший солдат,Гриценко,Олесь,Стефанович,Гриценко Олесь Стефанович,чоловіча,00-001,санітар-інструктор,Управління батальйону,2026-05-21,Навчальний центр Сухопутних військ,2026-05-12,2026-05-14,№584,2026-05-23,командувач Сухопутних військ ЗСУ,№345,2026-07-22,командир батальйону,№507,військова служба за контрактом,2026-04-29,2027-04-29,,2047116719,Паспорт громадянина України (книжечка),ПЗ,094777,1993-10-12,село Вишгород,2026-04-29,Соборний РТЦК та СП м. Дніпра,повна загальна середня,неодружений(а),має посвідчення водія категорії C,+380 13 186-99-93
UNIT-0023,молодший лейтенант,Скорик,Климент,Леонідович,Скорик Климент Леонідович,чоловіча,03-007,начальник штабу батальйону,3-тя механізована рота,2026-07-12,Навчальний центр Сухопутних військ,2024-09-12,2024-09-12,№569,2026-07-16,командир бригади,№708,2025-12-05,командувач Сухопутних військ ЗСУ,№662,базова військова служба,,,12 місяців,3341232812,Паспорт громадянина України (книжечка),ШО,649909,1977-05-07,хутір Лубни,2024-09-04,Приморський РТЦК та СП м. Одеси,професійно-технічна,неодружений(а),,+380 40 344 71 34
UNIT-0024,рядовий,Жаліло,Єлисей,Богданович,Жаліло Єлисей Богданович,чоловіча,03-008,зв'язківець,3-тя механізована рота,2024-09-17,121 окрема бригада ТрО,2024-01-30,2024-02-01,№720,2024-09-20,командувач Сухопутних військ ЗСУ,№278,2025-03-10,начальник штабу батальйону,№258,базова військова служба,,,12 місяців,7464887719,Паспорт громадянина України (ID-картка),,210249947,1979-01-21,хутір Сорокине,2024-01-23,Личаківський РТЦК та СП м. Львова,повна загальна середня,неодружений(а),,+380 94 013-99-04
UNIT-0025,старший сержант,Бабенко,Руслан,Стефанович,Бабенко Руслан Стефанович,чоловіча,02-006,командир відділення,2-га механізована рота,2025-08-24,переведення з іншої військової частини,2023-08-25,2023-08-26,№612,2025-08-29,начальник штабу батальйону,№103,2025-11-05,командир бригади,№304,військова служба за мобілізацією,,,на весь період мобілізації,5512567468,Паспорт громадянина України (ID-картка),,742967175,1998-05-20,хутір Богуслав,2023-08-22,Личаківський РТЦК та СП м. Львова,професійно-технічна,дружина/чоловік — Давид,,+380 51 680-87-60
UNIT-0026,молодший сержант,Єресько,Розалія,Орестівна,Єресько Розалія Орестівна,жіноча,02-007,старшина роти,2-га механізована рота,2026-07-23,121 окрема бригада ТрО,2026-05-24,2026-05-27,№189,2026-07-23,командир батальйону,№259,2026-07-03,командувач Сухопутних військ ЗСУ,№117,військова служба за контрактом,2026-05-22,2031-05-22,,7109324808,Паспорт громадянина України (книжечка),РП,034824,2000-05-29,місто Дергачі,2026-05-22,Шевченківський РТЦК та СП м. Києва,професійно-технічна,неодружений(а),,712 74 84
UNIT-0027,рядовий,Фаренюк,Стефан,Макарович,Фаренюк Стефан Макарович,чоловіча,03-009,сапер,3-тя механізована рота,2026-04-19,переведення з іншої військової частини,2026-03-03,2026-03-04,№232,2026-04-19,командувач Сухопутних військ ЗСУ,№462,2026-05-29,командувач Сухопутних військ ЗСУ,№305,військова служба за контрактом,2026-03-02,2029-03-02,,5840449972,Паспорт громадянина України (ID-картка),,826398214,1998-10-31,хутір Калуш,2026-03-02,Київський РТЦК та СП Полтавської області,вища,"дружина/чоловік — Демид, діти — 2",має досвід роботи з БПЛА,+380 (75) 339-63-60
UNIT-0028,старший сержант,Орлик,Роман,Кирилович,Орлик Роман Кирилович,чоловіча,03-010,старшина роти,3-тя механізована рота,2026-03-21,Навчальний центр «Десна»,2025-05-26,2025-05-28,№3,2026-03-26,командувач Сухопутних військ ЗСУ,№462,2025-09-18,командувач Сухопутних військ ЗСУ,№299,військова служба за мобілізацією,,,на весь період мобілізації,7187026217,Паспорт громадянина України (книжечка),ТВ,702895,1977-06-04,селище Помічна,2025-05-23,Шевченківський РТЦК та СП м. Києва,повна загальна середня,"дружина/чоловік — Петро, діти — 1",,+380 (15) 865-78-09
UNIT-0029,рядовий,Бевз,Володимир,Петрович,Бевз Володимир Петрович,чоловіча,01-008,водій,1-ша механізована рота,2025-02-02,Навчальний центр «Десна»,2024-08-10,2024-08-10,№74,2025-02-06,командир батальйону,№170,2026-03-07,начальник штабу батальйону,№610,військова служба за мобілізацією,,,на весь період мобілізації,0050455623,Паспорт громадянина України (книжечка),ИЯ,161172,1990-12-22,село Ворожба,2024-08-04,Київський РТЦК та СП Полтавської області,вища,"дружина/чоловік — Єва, діти — 1",,969 37 92
UNIT-0030,старший солдат,Ісаєнко,Світлана,Охрімівна,Ісаєнко Світлана Охрімівна,жіноча,00-002,оператор БПЛА,Управління батальйону,2026-04-13,121 окрема бригада ТрО,2024-04-30,2024-04-30,№27,2026-04-17,командир батальйону,№235,2025-05-24,командир батальйону,№784,військова служба за мобілізацією,,,на весь період мобілізації,5946474367,Паспорт громадянина України (книжечка),ЛФ,074821,2000-08-27,село Кодима,2024-04-23,Соборний РТЦК та СП м. Дніпра,базова вища,"дружина/чоловік — Пріска, діти — 2",,+380 40 640-90-97
UNIT-0031,рядовий,Малишко,Камілла,Омелянівна,Малишко Камілла Омелянівна,жіноча,03-011,санітар-інструктор,3-тя механізована рота,2025-08-21,новобранець (мобілізація),2025-03-04,2025-03-07,№879,2025-08-21,командир бригади,№338,2026-07-01,командувач Сухопутних військ ЗСУ,№711,військова служба за мобілізацією,,,на весь період мобілізації,7095214562,Паспорт громадянина України (книжечка),ЛЦ,394210,1991-08-14,село Торецьк,2025-02-22,Приморський РТЦК та СП м. Одеси,професійно-технічна,"дружина/чоловік — Марко, діти — 2",,+380 88 424-74-51
UNIT-0032,рядовий,Шило,Антон,Борисович,Шило Антон Борисович,чоловіча,02-008,кулеметник,2-га механізована рота,2025-10-15,переведення з іншої військової частини,2024-02-06,2024-02-09,№474,2025-10-19,командувач Сухопутних військ ЗСУ,№56,2026-06-08,командир бригади,№531,військова служба за контрактом,2024-01-25,2025-01-25,,9651370985,Паспорт громадянина України (ID-картка),,516048175,1988-06-08,місто Прип'ять,2024-01-25,Соборний РТЦК та СП м. Дніпра,базова вища,дружина/чоловік — Світлана,,+380 61 200-47-11
UNIT-0033,лейтенант,Їжак,Феофан,Михайлович,Їжак Феофан Михайлович,чоловіча,02-009,заступник командира батальйону,2-га механізована рота,2024-12-28,Навчальний центр «Десна»,2023-05-05,2023-05-08,№727,2024-12-28,командир бригади,№319,2025-03-25,командир батальйону,№566,військова служба за мобілізацією,,,на весь період мобілізації,4053773515,Паспорт громадянина України (ID-картка),,586926179,1998-05-14,місто Коростишів,2023-04-21,Приморський РТЦК та СП м. Одеси,повна загальна середня,"дружина/чоловік — Герман, діти — 1",володіє англійською мовою (розмовний рівень),017 139-00-53
UNIT-0034,рядовий,Гречко,Сергій,Олексович,Гречко Сергій Олексович,чоловіча,01-009,сапер,1-ша механізована рота,2024-03-16,Навчальний центр Сухопутних військ,2023-12-01,2023-12-03,№196,2024-03-19,командир бригади,№885,2026-04-01,командир батальйону,№283,військова служба за контрактом,2023-11-23,2026-11-23,,4228421020,Паспорт громадянина України (книжечка),ТД,393352,1970-10-15,село Перевальськ,2023-11-23,Приморський РТЦК та СП м. Одеси,професійно-технічна,дружина/чоловік — Михайлина,,240-26-81
UNIT-0035,молодший сержант,Батюк,Лесь,Леонтійович,Батюк Лесь Леонтійович,чоловіча,03-012,старшина роти,3-тя механізована рота,2026-05-03,переведення з іншої військової частини,2025-03-31,2025-04-01,№387,2026-05-06,командувач Сухопутних військ ЗСУ,№956,2026-06-28,начальник штабу батальйону,№891,військова служба за мобілізацією,,,на весь період мобілізації,4700766177,Паспорт громадянина України (книжечка),ТЩ,178390,2006-01-29,місто Ізюм,2025-03-24,Личаківський РТЦК та СП м. Львова,вища,неодружений(а),,012 499 85 69
UNIT-0036,старший солдат,Михайличенко,Костянтин,Микитович,Михайличенко Костянтин Микитович,чоловіча,02-010,зв'язківець,2-га механізована рота,2025-12-10,запас (повторний призов),2025-11-02,2025-11-05,№156,2025-12-15,командувач Сухопутних військ ЗСУ,№988,2026-07-21,командир батальйону,№130,базова військова служба,,,12 місяців,5766156545,Паспорт громадянина України (книжечка),ЦЮ,183673,1998-10-03,хутір Біла Церква,2025-10-22,Київський РТЦК та СП Полтавської області,вища,"дружина/чоловік — Валентина, діти — 1",,161 52 80
UNIT-0037,рядовий,Пелех,Віолетта,Євгенівна,Пелех Віолетта Євгенівна,жіноча,03-013,навідник,3-тя механізована рота,2026-01-26,121 окрема бригада ТрО,2025-03-04,2025-03-05,№639,2026-01-26,командувач Сухопутних військ ЗСУ,№666,2025-04-06,командир батальйону,№873,військова служба за мобілізацією,,,на весь період мобілізації,3158514936,Паспорт громадянина України (ID-картка),,494519832,2003-05-29,селище Бар,2025-02-26,Соборний РТЦК та СП м. Дніпра,вища,"дружина/чоловік — Єлисавета, діти — 1",,+380 45 502-29-61
UNIT-0038,старший солдат,Данилюк,Прохір,Павлович,Данилюк Прохір Павлович,чоловіча,02-011,снайпер,2-га механізована рота,2022-10-19,запас (повторний призов),2022-05-30,2022-05-30,№93,2022-10-20,командувач Сухопутних військ ЗСУ,№101,2025-08-01,командир батальйону,№455,військова служба за контрактом,2022-05-30,2025-05-30,,9910229014,Паспорт громадянина України (ID-картка),,836675254,1992-09-01,хутір Миргород,2022-05-30,Личаківський РТЦК та СП м. Львова,базова вища,дружина/чоловік — Орина,,+380 (43) 815-61-49
UNIT-0039,рядовий,Якимчук,Макар,Прохорович,Якимчук Макар Прохорович,чоловіча,02-012,снайпер,2-га механізована рота,2024-11-19,Навчальний центр Сухопутних військ,2024-10-15,2024-10-16,№635,2024-11-20,командир бригади,№510,2025-03-29,командир бригади,№238,військова служба за мобілізацією,,,на весь період мобілізації,5107622683,Паспорт громадянина України (ID-картка),,690034324,1990-04-17,місто Коростишів,2024-10-09,Приморський РТЦК та СП м. Одеси,базова вища,"дружина/чоловік — Трохим, діти — 1",володіє англійською мовою (розмовний рівень),607-15-96
UNIT-0040,рядовий,Товстоліс,Панас,Павлович,Товстоліс Панас Павлович,чоловіча,01-010,оператор БПЛА,1-ша механізована рота,2026-01-08,Навчальний центр Сухопутних військ,2025-09-18,2025-09-20,№866,2026-01-13,начальник штабу батальйону,№204,2025-10-27,командувач Сухопутних військ ЗСУ,№874,базова військова служба,,,12 місяців,3696816453,Паспорт громадянина України (ID-картка),,605297516,1977-10-19,село Білопілля,2025-09-13,Приморський РТЦК та СП м. Одеси,повна загальна середня,"дружина/чоловік — Ярослава, діти — 1",має досвід роботи з БПЛА,883 55 23
UNIT-0041,капітан,Власюк,Борис,Гаврилович,Власюк Борис Гаврилович,чоловіча,03-014,заступник командира батальйону,3-тя механізована рота,2024-07-28,переведення з іншої військової частини,2023-11-02,2023-11-02,№764,2024-08-01,командувач Сухопутних військ ЗСУ,№853,2026-05-21,начальник штабу батальйону,№795,військова служба за контрактом,2023-10-29,2028-10-29,,5271774490,Паспорт громадянина України (ID-картка),,212779979,1992-08-03,місто Золотоноша,2023-10-29,Личаківський РТЦК та СП м. Львова,базова вища,"дружина/чоловік — Левко, діти — 2",,+380 00 541 19 98
UNIT-0042,старший сержант,Сомко,Левко,Олесьович,Сомко Левко Олесьович,чоловіча,03-015,старшина роти,3-тя механізована рота,2024-06-11,новобранець (мобілізація),2022-07-14,2022-07-15,№317,2024-06-16,командувач Сухопутних військ ЗСУ,№35,2026-05-13,начальник штабу батальйону,№750,військова служба за мобілізацією,,,на весь період мобілізації,5182037788,Паспорт громадянина України (ID-картка),,935978207,1977-08-21,селище Ківерці,2022-07-01,Личаківський РТЦК та СП м. Львова,повна загальна середня,неодружений(а),має посвідчення водія категорії C,+380 66 590-51-51
UNIT-0043,рядовий,Стець,Гордій,Гаврилович,Стець Гордій Гаврилович,чоловіча,03-016,снайпер,3-тя механізована рота,2024-11-18,Навчальний центр Сухопутних військ,2023-06-20,2023-06-22,№991,2024-11-22,начальник штабу батальйону,№765,2023-10-10,начальник штабу батальйону,№824,військова служба за мобілізацією,,,на весь період мобілізації,4865281685,Паспорт громадянина України (книжечка),ЕИ,925462,1976-05-11,селище Золотоноша,2023-06-06,Шевченківський РТЦК та СП м. Києва,професійно-технічна,неодружений(а),має посвідчення водія категорії C,035 733 22 14
UNIT-0044,сержант,Вітрук,Леопольд,Теодорович,Вітрук Леопольд Теодорович,чоловіча,01-011,старшина роти,1-ша механізована рота,2025-04-20,121 окрема бригада ТрО,2022-06-27,2022-06-29,№689,2025-04-20,начальник штабу батальйону,№599,2023-11-26,командувач Сухопутних військ ЗСУ,№843,військова служба за контрактом,2022-06-21,2023-06-21,,9270653794,Паспорт громадянина України (книжечка),ГП,929622,1982-11-25,село Новоазовськ,2022-06-21,Соборний РТЦК та СП м. Дніпра,повна загальна середня,неодружений(а),,047 359-77-46
UNIT-0045,молодший сержант,Гаєвський,Макар,Йосипович,Гаєвський Макар Йосипович,чоловіча,03-017,старшина роти,3-тя механізована рота,2024-05-20,Навчальний центр «Десна»,2023-07-15,2023-07-15,№47,2024-05-25,командир батальйону,№312,2026-02-05,командувач Сухопутних військ ЗСУ,№119,військова служба за контрактом,2023-07-12,2028-07-12,,8141247826,Паспорт громадянина України (книжечка),ОГ,240758,1977-07-29,село Харків,2023-07-12,Шевченківський РТЦК та СП м. Києва,повна загальна середня,"дружина/чоловік — Орися, діти — 1",,+380 06 068-53-61
UNIT-0046,старший лейтенант,Сірко,Віталій,Адамович,Сірко Віталій Адамович,чоловіча,01-012,заступник командира батальйону,1-ша механізована рота,2025-02-03,121 окрема бригада ТрО,2024-11-19,2024-11-20,№34,2025-02-06,начальник штабу батальйону,№223,2026-05-19,командувач Сухопутних військ ЗСУ,№456,військова служба за контрактом,2024-11-10,2027-11-10,,1043289861,Паспорт громадянина України (ID-картка),,522047277,1970-12-14,село Зіньків,2024-11-10,Личаківський РТЦК та СП м. Львова,вища,неодружений(а),,036 97 11
UNIT-0047,капітан,Базилевський,Назар,Михайлович,Базилевський Назар Михайлович,чоловіча,03-018,начальник штабу батальйону,3-тя механізована рота,2024-05-06,новобранець (мобілізація),2022-04-16,2022-04-19,№679,2024-05-08,командир бригади,№658,2023-07-06,командир батальйону,№52,військова служба за мобілізацією,,,на весь період мобілізації,2185188888,Паспорт громадянина України (книжечка),ЯП,460953,1998-12-10,хутір Шепетівка,2022-04-16,Соборний РТЦК та СП м. Дніпра,повна загальна середня,неодружений(а),,+380 06 540 51 53
UNIT-0048,старший сержант,Влох,Святослав,Олесьович,Влох Святослав Олесьович,чоловіча,02-013,командир відділення,2-га механізована рота,2025-04-14,121 окрема бригада ТрО,2025-01-01,2025-01-02,№880,2025-04-15,командир бригади,№134,2025-01-26,начальник штабу батальйону,№818,військова служба за мобілізацією,,,на весь період мобілізації,2170430305,Паспорт громадянина України (книжечка),ФА,585277,1982-12-31,хутір Феодосія,2024-12-23,Личаківський РТЦК та СП м. Львова,повна загальна середня,"дружина/чоловік — Тереза, діти — 1",має посвідчення водія категорії C,+380 03 450-54-15
UNIT-0049,рядовий,Цісик,Феофан,Єлисейович,Цісик Феофан Єлисейович,чоловіча,03-019,навідник,3-тя механізована рота,2026-04-24,Навчальний центр Сухопутних військ,2025-11-25,2025-11-25,№797,2026-04-25,начальник штабу батальйону,№526,2026-04-01,командир батальйону,№463,військова служба за контрактом,2025-11-21,2030-11-21,,6169284511,Паспорт громадянина України (книжечка),ВР,277584,1976-03-20,селище Знам'янка,2025-11-21,Київський РТЦК та СП Полтавської області,повна загальна середня,"дружина/чоловік — Климент, діти — 3",,+380 (27) 570-59-64
